,Delay,Rheobase,Rin,tau,Max,
1,27.9,75.8,258,12.3,143,
2,331.9,44.8,412,13.4708,66,
3,134.8,36,536.5,23.9807,64,
4,176.8,26.6,692,27.1597,25,
5,41.42,104,318.632,13.0589,30,
6,80.975,59.5,619.52,16.0993,12,
7,142.36,22.8,648.175,27.4327,30,
8,66.4,27,679.572,23.4352,7,
9,177.4833333,24.33,756,31.244,37,
10,135.0333333,24,607.525,30.5899,26,
11,148.1666667,33,589.76,24.5591,14,
12,127.08,11.8,700.855,28.0819,46,
13,227.0333333,12,842.59,27.9489,27,
14,111.2,86.5,389.096,18.4963,22,
15,53.03333333,67,937.08,24.4207,56,
16,123.3333333,42,639.05,27.4669,45,
17,256.2333333,15.33,1105.09,42.7991,19,
18,322.75,172,177,8.5,57,
19,272.12,130.8,289.89,13.6592,59,
20,336.8,106.67,211.434,8.51347,60,
21,123.3,149.25,213.38,13.0016,82,
22,418.9,157.8,175.467,7.49115,71,
23,166.9,245,178,12.5995,52,
24,403.4666,135,369.864,21.5657,45,
25,413.9,127,228.204,9.17566,46,
26,153.525,302.5,160.0578,9.43082,76,
27,152.3333333,142.67,206.36,10.4632,42,
28,23.23333333,251,159.3808,9.73155,65,
29,18.96666667,227,221.872,9.35275,38,
30,191.9,156,215.842,8.80518,70,
31,329.875,196,218.976,9.50184,60,
32,388.28,183.4,255.764,12.9872,62,
33,153.0571429,63.1,458.254,14.1071,62,
34,242.1,247.8,204.596,10.9004,65.2,
35,440.25,117,299.4,13.6456,42,
36,393.7,169,313.422,13.9422,48.5,
37,455.6,94,293.896,10.8901,60,
38,381.6,160,224.8,12.7942,41,
39,21.15,156.5,276.306,12.4656,58,
40,479.3333333,119.333,246.196,9.32976,44.5,
41,344.5,221.33,190.389,10.3975,50,
42,351.32,153.2,295.12,10.903,60,
43,463.9,152.5,242.842,13.8154,49.5,
44,426.625,84.5,293.044,11.1211,46,
45,316.58,138.8,251.984,9.81132,50,
46,270,114.5,328.096,17.6003,49,
47,286.96667,122.6666667,165.33,9.93,19.8,
48,370.7999967,72,439,14.67,25.4,
49,174.36666,186,265,14.31,23.8,
50,64.16665667,27.33,247.17,13.3,26.8,
51,404.2666633,96.67,298.02,12.68,24.2,
52,321.9666667,80.67,330.99,10.51,28,
53,191.6333333,101.33,259.05,8.36,45.8,
54,254.6000067,83.67,247.29,8.52,27.8,
55,143.1666667,122.67,252.05,12.32,29.2,
56,238.69999,174.00,174.52,12.68,21.4,
57,359.5666667,63.33,265.51,10.21,55.4,
58,186.83334,124.00,210.32,8.64,41.2,
59,312.5333233,133.33,255.85,11.07,27,
60,404.9000033,44.00,245.6,7.9,57.6,
61,333.5333333,26.00,491.48,16.17,62.6,
62,360.33333,96,174.95,10.77,22,
63,332.6333433,90.67,192.53,5.62,56,
64,193.5666567,146.67,270.96,11.89,31,
65,48.46667,92.67,231.92,9.09,38.4,
66,21.16667,412.67,127.94,12.01,0,
67,198.9,80,217.55,8.43,33.2,
